CoolSetpoint,THallway,TRoom202,TRoom203,TRoom205,TRoom206,TRoom208,TRoom212,TRoom214,TRoom219,TRoom220,TRoom222,TRoom224
23.0,22.2209474202021,22.2103098181813,22.0867323639564,22.0573801493581,22.0382385615417,21.936285705556,22.0108057252837,21.9605089088552,21.9740484515182,22.0242898270866,22.0204507622277,22.0029416871688
23.0,22.1990517739258,22.1861163874885,22.060618391294,22.029656064962,22.0110366149752,21.9075233760716,21.9827826621574,21.9323123392871,21.9447791009038,21.9946583736049,21.9908923465179,21.9731466133406
23.0,22.178238022608,22.163479591436,22.0363662504189,22.0039334872014,21.9858189579582,21.8808957559565,21.9568120854642,21.9061992204638,21.9176591635827,21.9671892338747,21.9634955078424,21.9455249459082
23.0,22.1583180672824,22.1421300841189,22.0136733754809,21.9799060343306,21.9622792366292,21.8561025285839,21.932589486819,21.8818671144108,21.8923849521064,21.9415748755109,21.9379516686074,21.9197723533544
23.0,22.1391317588235,22.1218436168295,21.9922859273496,21.9573141160372,21.940158284523,21.8328859068481,21.9098555805394,21.8590576404521,21.8686957942542,21.917551533994,21.9139963296946,21.8956272133777
23.0,22.1205732863853,22.1024518973863,21.9720036908644,21.9359474211856,21.919246602513,21.8110294748506,21.8883973089478,21.8375564150032,21.8463740283365,21.8948999911185,21.8914099069389,21.8728708086332
23.0,22.1025507982576,22.0838141080377,21.9526573620609,21.9156260756313,21.8993652292381,21.7903452002894,21.8680313666597,21.8171782637771,21.8252306625717,21.8734300836793,21.8700020264186,21.8513129169811
23.0,22.0849702043178,22.0658032458216,21.9340972095435,21.8961912010681,21.8803561756841,21.7706669949984,21.848595945408,21.7977598053449,21.8050983124648,21.8529731147793,21.8496038335961,21.8307847603626
23.0,22.06774404972,22.0483080918272,21.9161932478876,21.8775045903596,21.8620821265123,21.7518498736375,21.8299501536378,21.7791586982161,21.7858306341085,21.8333814757162,21.8300676301214,21.8111385430621
23.0,22.0508551045108,22.0312729442213,21.898869731212,21.8594806215597,21.844458604688,21.733797303212,21.812004017361,21.7612820870989,21.7673314928438,21.8145594506124,21.8112979358492,21.792277131469
23.0,22.0342899207093,22.0146521604398,21.882063609007,21.842047168224,21.8274145806187,21.7164267980129,21.7946813209864,21.7440510333371,21.7495188026051,21.7964253874015,21.7932133584754,21.7741174517734
23.0,22.0180091532894,21.9983891218379,21.8657050235936,21.8251271622472,21.8108738932129,21.6996535510483,21.7779020207072,21.7273836251018,21.7323073530088,21.7788937735472,21.775728529502,21.7565731137261
23.0,22.0019618110333,21.9824243931195,21.8497240273482,21.8086446169977,21.7947613350309,21.6833953379567,21.7615877924242,21.7112001538149,21.7156141131542,21.7618809069113,21.758759832123,21.7395598259128
23.0,21.9861296650416,21.9667253639491,21.8340754531327,21.7925466459043,21.7790248360702,21.667589447428,21.7456820053862,21.6954415139247,21.6993765825336,21.7453245516462,21.7422452484246,21.7230140054247
23.0,21.9706909464801,21.9514594666589,21.8189169003335,21.7769845988668,21.7638164307414,21.6523791539831,21.7303329544495,21.6802539887326,21.6837381973394,21.7293683258921,21.7263285870919,21.7070781532676
23.0,21.9557329934892,21.936707039636,21.8043249170878,21.762032660473,21.7492106996255,21.6378355455712,21.7156137008178,21.6657098455164,21.6687700147062,21.7140832954772,21.7110810387184,21.6918228324681
23.0,21.9412329563027,21.9224446002556,21.7902749504303,21.747665682699,21.73518268003,21.6239329023117,21.7014989576009,21.6517837216465,21.6544458965158,21.6994429406335,21.6964761109238,21.6772214915887
23.0,21.9271639101019,21.9086383257477,21.7767279842434,21.7338419384006,21.7216904158869,21.6106240531935,21.6879448130147,21.6384302263181,21.6407195758572,21.6854017086216,21.6824683302564,21.6632278075043
23.0,21.9134359732964,21.8952009528231,21.7635938572796,21.7204687000793,21.7086418031392,21.5978138174976,21.6748578093423,21.6255554446504,21.6274951022862,21.6718630249382,21.6689611789217,21.6497449260997
23.0,21.8999978742,21.8820807822584,21.7508170241862,21.7074880655497,21.6959789792632,21.5854407513752,21.6621787009791,21.613099319839,21.6147109470334,21.6587652459955,21.6558930452221,21.6367108288076
23.0,21.8867722384903,21.8692053615308,21.7383234383013,21.6948242043349,21.6836267255409,21.5734282181401,21.649831558528,21.6009859742122,21.6022892398922,21.6460294689144,21.6431850533691,21.6240466376668
